article_id,positive_sentiment,negative_sentiment,organizations,persons,locations,timestamp,longitude,latitude
20190424164500-1060,4.69361147327249,3.9113428943937403,environmental protection agency;us department of transportation;cnn;united states,dan k eberhart,"New York, United States;United States;Environmental Protection Agency, District Of Columbia, United States;Paris, France (General), France;White House, District Of Columbia, United States;Wyoming, United States",20190424164500,-74.9384,42.1497
20190411173000-1112,0.48899755501222497,6.60146699266504,bournemouth crown court;maltese football association,bob higgins;dave merrington,"Montana, United States;Peterborough, Peterborough, United Kingdom",20190411173000,-110.32600000000001,46.9048
20190928070000-6,3.5425101214574903,6.376518218623482,united kingdom national health service;cancer research united kingdom;european society for medical oncology,james larkin;charles swanton;pam smith,"United Kingdom;Royal Tunbridge Wells, Kent, United Kingdom",20190928070000,-4.0,54.0
20190713223000-658,1.73010380622837,2.07612456747405,european space agency;european union;trump space;reuters,donald trump,"China;Kourou, French Guiana (General), French Guiana;United States;Russia;France;French Guiana",20190713223000,105.0,35.0
20190605180000-974,3.44827586206897,4.92610837438424,supreme court;parenthood action fund;twitter;cnn,kelley robinson;donald trump;roe v wade;barack obama;elizabeth warren;george w bush;pete buttigieg;joe biden;jamal brown;hillary clinton;bernie sanders;kamala harris,"South Bend, Indiana, United States;United States;South Carolina, United States;Texas, United States;Massachusetts, United States;Vermont, United States;Mexico City, Distrito Federal, Mexico;Canada;Indiana, United States",20190605180000,-86.25,41.6834
20190228144500-561,2.44648318042813,5.19877675840979,,john bercow;nick brown;jeremy corbyn;mark drakeford;paul flynn,"Newport, Newport, United Kingdom;United Kingdom",20190228144500,-2.98333,51.5833
20190701211500-596,3.125,0.0,cnn;judbarra national park;industrial research organization,xuankun li;bryan lessard;al graham,"Northern Territory, Northern Territory, Australia;Australia",20190701211500,134.0,-20.0
20190304034500-1077,1.2093023255814,3.2558139534883703,republican senate;democrats in congress;republican party;senate republicans;cnn;university of new hampshire,lisa lerer;toluse olorunnipa;sherrod brown;elizabeth warren;john hickenlooper;joe biden;phil mattingly;john king;jay inslee;kamala harris;bernie sanders,"New York, United States;University Of New Hampshire, New Hampshire, United States;New Hampshire, United States;Massachusetts, United States;Vermont, United States;Washington, Washington, United States;Colorado, United States;Ohio, United States;Hampshire, New York, United States",20190304034500,-74.9384,42.1497
20190502231500-1642,2.3255813953488396,5.62015503875969,university of southern california;cnn,mossimo giannulli;martha stewart;lori loughlin,,20190502231500,,
20190712120000-893,0.65359477124183,7.189542483660129,national autistic society;office for police conduct,clare hughes;helen lyons;sal naseem,"Sweden;Tower Hamlets, Tower Hamlets, United Kingdom;United Kingdom;London, London, City Of, United Kingdom",20190712120000,15.0,62.0
20190620023000-926,1.60965794768612,3.82293762575453,environmental audit committee;nottingham trent university;university of manchester,stella claxton;patsy perry,"United Kingdom;Manchester, Manchester, United Kingdom",20190620023000,-4.0,54.0
20190214181500-1790,2.3094688221708997,9.468822170900687,white house;kline;office of administration;us office of special counsel;justice department;cnn;office of special counsel,zachary cohen;robert mueller;crede bailey;jared kushner;carl kline;tricia newbold,"Russia;White House, District Of Columbia, United States",20190214181500,100.0,60.0
20190703014500-1606,2.9345372460496604,5.643340857787808,tesco,dave lewis,United Kingdom,20190703014500,-4.0,54.0
20190119234500-762,0.0,14.6919431279621,cnn,,"Delaware, United States;New Castle County, Delaware, United States",20190119234500,-75.5148,39.3498
20191212154500-2135,4.8330842052815095,2.14250124564026,art agency partners;san francisco de young museum;baltic centre for contemporary art in newcastle;baltimore museum of art;institute of contemporary art;institute of contemporary art miami;donald woodman new orleans museum of art;brooklyn museum;dinner party;national museum of women;donald woodman judy chicago artists rights society,hilton kramer;jeffrey deitch;andy warhol;yayoi kusama;judy chicago;francisco jessica silverman;faith wilding;donald woodman;john chamberlain;los angeles;donald woodman judy;charlotte jansen;lucy lippard;robert hughes,"Miami, Florida, United States;New York, United States;Bristol, Bristol, City Of, United Kingdom;United States;Brooklyn, New York, United States;United Kingdom;Fresno, California, United States;Canada;New Mexico, United States;France;San Francisco, California, United States",20191212154500,-80.1937,25.7743
